518,287,505,794,1244,1852,2648,3911,5233,7256,9592,13000,17541,21772,24243,25351,25771,26650,27574,27898,27973,28255,27198,26064,24111,21549,19015,16275,13297,10897,8655,7098,5605,4485,3571,2861,2339,1787,1377,1040,768,587,457,344,266,179,140,103,68,35,12
10961,5452,7588,10628,13895,17919,22939,28207,31267,30510,29303,28143,27919,28310,28456,28297,28089,28035,26287,22903,17572,11788,6868,3852,2101,1199,638,422,256,132,53,32,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60777,21173,26394,31772,33949,32342,29980,29268,30033,31539,33446,33409,30151,23890,17320,11711,8168,5794,4151,2567,1360,595,173,50,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189554,36748,32588,29532,30041,30844,31039,29118,24087,18976,14631,11223,8347,5333,3234,1880,1127,722,484,288,138,68,18,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370314,21638,21890,20320,16778,13363,10591,8314,5778,3833,2652,1823,1183,701,401,188,118,62,39,20,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

